,genes,descriptions,gene_ids,search_substring,search_domain,name,defn,id,n_genes,synonym,xref,comment,uniprot
392,COPG2,COPI coat complex subunit gamma 2,26958,"Endoplasmic reticulum, Endoplasmic reticulum, Endoplasmic reticulum","CC, CC, CC","endoplasmic reticulum, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""A complex system of membrane-bounded compartments located between endoplasmic reticulum (ER) and the Golgi complex, with a distinctive membrane protein composition; involved in ER-to-Golgi and Golgi-to-ER transport."" [GOC:pr, PMID:16723730]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005793, GO:0005789","[1163, 74, 1114]","[nan, [synonym(text='EGTC', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum-Golgi transport container', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER-Golgi intermediate compartment', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER-Golgi transport container', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ERGIC', scope='EXACT', typename='', dbxrefs=set()), synonym(text='pre-Golgi intermediate compartment', scope='EXACT', typename='', dbxrefs=set()), synonym(text='vesicular-tubular cluster', scope='EXACT', typename='', dbxrefs={'Wikipedia:Vesicular-tubular_cluster'}), synonym(text='VTC', scope='EXACT', typename='', dbxrefs=set())], nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan, nan]","[nan, nan, nan]",Q9UBF2
393,COPZ1,COPI coat complex subunit zeta 1,22818,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],P61923
394,COPZ2,COPI coat complex subunit zeta 2,51226,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum-Golgi intermediate compartment membrane, endoplasmic reticulum membrane","['""The lipid bilayer surrounding any of the compartments of the endoplasmic reticulum (ER)-Golgi intermediate compartment system."" [GOC:mah, GOC:pr, PMID:16723730]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0033116, GO:0005789","[80, 1114]","[nan, nan]","[nan, nan]","[nan, nan]",Q9P299
395,CP,ceruloplasmin,1356,Endoplasmic reticulum,CC,endoplasmic reticulum lumen,"['""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]']",GO:0005788,[313],"[[synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())]]",[nan],[nan],P00450
396,CPEB4,cytoplasmic polyadenylation element binding protein 4,80315,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],Q17RY0
397,CPED1,cadherin like and PC-esterase domain containing 1,79974,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],A4D0V7
398,CPQ,carboxypeptidase Q,10404,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],Q9Y646
399,CPT1C,carnitine palmitoyltransferase 1C,126129,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005789","[1163, 1114]","[nan, nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",Q8TCG5
400,CRABP2,cellular retinoic acid binding protein 2,1382,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],P29373
401,CRAT,carnitine O-acetyltransferase,1384,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],P43155
402,CREB3,cAMP responsive element binding protein 3,10488,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005789","[1163, 1114]","[nan, nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",O43889
403,CREB3L1,cAMP responsive element binding protein 3 like 1,90993,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005789","[1163, 1114]","[nan, nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",Q96BA8
404,CREB3L2,cAMP responsive element binding protein 3 like 2,64764,"Endoplasmic reticulum, Endoplasmic reticulum, Endoplasmic reticulum","CC, CC, CC","endoplasmic reticulum, perinuclear endoplasmic reticulum, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The portion of endoplasmic reticulum, the intracellular network of tubules and cisternae, that occurs near the nucleus. The lumen of the perinuclear endoplasmic reticulum is contiguous with the nuclear envelope lumen (also called perinuclear space), the region between the inner and outer nuclear membranes."" [GOC:bf, GOC:mah, GOC:mcc, GOC:pr, GOC:vw]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0097038, GO:0005789","[1163, 18, 1114]","[nan, nan, nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan, nan]","[nan, nan, nan]",Q70SY1
405,CREB3L3,cAMP responsive element binding protein 3 like 3,84699,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005789","[1163, 1114]","[nan, nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",Q68CJ9
406,CREB3L4,cAMP responsive element binding protein 3 like 4,148327,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005789","[1163, 1114]","[nan, nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",Q8TEY5
407,CREG2,cellular repressor of E1A stimulated genes 2,200407,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],Q8IUH2
408,CRELD2,cysteine rich with EGF like domains 2,79174,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],Q6UXH1
409,CRTAP,cartilage associated protein,10491,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum lumen","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]']","GO:0005783, GO:0005788","[1163, 313]","[nan, [synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())]]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",O75718
410,CRYZL2P-SEC16B,CRYZL2P-SEC16B readthrough,111240474,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum exit site, endoplasmic reticulum membrane","['""An endoplasmic reticulum part at which COPII-coated vesicles are produced."" [NIF_Subcellular:sao124393998, PMID:15623529, PMID:16957052]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0070971, GO:0005789","[32, 1114]","[[synonym(text='ER exit site', scope='EXACT', typename='', dbxrefs={'GOC:mah'}), synonym(text='transitional ER', scope='EXACT', typename='', dbxrefs={'PMID:15623529'})], nan]","[nan, nan]","[nan, nan]",Q96JE7
411,CSF1,colony stimulating factor 1,1435,Endoplasmic reticulum,CC,endoplasmic reticulum lumen,"['""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]']",GO:0005788,[313],"[[synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())]]",[nan],[nan],P09603
412,CSH1,chorionic somatomammotropin hormone 1,1442,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],P0DML3
413,CSH2,chorionic somatomammotropin hormone 2,1443,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],P0DML3
414,CSNK1D,casein kinase 1 delta,1453,Endoplasmic reticulum,CC,endoplasmic reticulum-Golgi intermediate compartment membrane,"['""The lipid bilayer surrounding any of the compartments of the endoplasmic reticulum (ER)-Golgi intermediate compartment system."" [GOC:mah, GOC:pr, PMID:16723730]']",GO:0033116,[80],[nan],[nan],[nan],P48730
415,CSPG5,chondroitin sulfate proteoglycan 5,10675,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],O95196
416,CST3,cystatin C,1471,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum lumen","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]']","GO:0005783, GO:0005788","[1163, 313]","[nan, [synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())]]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",P01034
417,CST7,cystatin F,8530,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],O76096
418,CTAGE1,cutaneous T cell lymphoma-associated antigen 1,64693,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum exit site, endoplasmic reticulum membrane","['""An endoplasmic reticulum part at which COPII-coated vesicles are produced."" [NIF_Subcellular:sao124393998, PMID:15623529, PMID:16957052]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0070971, GO:0005789","[32, 1114]","[[synonym(text='ER exit site', scope='EXACT', typename='', dbxrefs={'GOC:mah'}), synonym(text='transitional ER', scope='EXACT', typename='', dbxrefs={'PMID:15623529'})], nan]","[nan, nan]","[nan, nan]",Q9HC47
419,CTAGE15,CTAGE family member 15,441294,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum exit site, endoplasmic reticulum membrane","['""An endoplasmic reticulum part at which COPII-coated vesicles are produced."" [NIF_Subcellular:sao124393998, PMID:15623529, PMID:16957052]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0070971, GO:0005789","[32, 1114]","[[synonym(text='ER exit site', scope='EXACT', typename='', dbxrefs={'GOC:mah'}), synonym(text='transitional ER', scope='EXACT', typename='', dbxrefs={'PMID:15623529'})], nan]","[nan, nan]","[nan, nan]",A4D2H0
420,CTAGE4,CTAGE family member 4,100128553,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum exit site, endoplasmic reticulum membrane","['""An endoplasmic reticulum part at which COPII-coated vesicles are produced."" [NIF_Subcellular:sao124393998, PMID:15623529, PMID:16957052]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0070971, GO:0005789","[32, 1114]","[[synonym(text='ER exit site', scope='EXACT', typename='', dbxrefs={'GOC:mah'}), synonym(text='transitional ER', scope='EXACT', typename='', dbxrefs={'PMID:15623529'})], nan]","[nan, nan]","[nan, nan]",Q8IX94
421,CTAGE6,CTAGE family member 6,340307,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum exit site, endoplasmic reticulum membrane","['""An endoplasmic reticulum part at which COPII-coated vesicles are produced."" [NIF_Subcellular:sao124393998, PMID:15623529, PMID:16957052]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0070971, GO:0005789","[32, 1114]","[[synonym(text='ER exit site', scope='EXACT', typename='', dbxrefs={'GOC:mah'}), synonym(text='transitional ER', scope='EXACT', typename='', dbxrefs={'PMID:15623529'})], nan]","[nan, nan]","[nan, nan]",Q86UF2
422,CTAGE8,CTAGE family member 8,100142659,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum exit site, endoplasmic reticulum membrane","['""An endoplasmic reticulum part at which COPII-coated vesicles are produced."" [NIF_Subcellular:sao124393998, PMID:15623529, PMID:16957052]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0070971, GO:0005789","[32, 1114]","[[synonym(text='ER exit site', scope='EXACT', typename='', dbxrefs={'GOC:mah'}), synonym(text='transitional ER', scope='EXACT', typename='', dbxrefs={'PMID:15623529'})], nan]","[nan, nan]","[nan, nan]",P0CG41
423,CTAGE9,CTAGE family member 9,643854,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum exit site, endoplasmic reticulum membrane","['""An endoplasmic reticulum part at which COPII-coated vesicles are produced."" [NIF_Subcellular:sao124393998, PMID:15623529, PMID:16957052]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0070971, GO:0005789","[32, 1114]","[[synonym(text='ER exit site', scope='EXACT', typename='', dbxrefs={'GOC:mah'}), synonym(text='transitional ER', scope='EXACT', typename='', dbxrefs={'PMID:15623529'})], nan]","[nan, nan]","[nan, nan]",A4FU28
424,CTDNEP1,CTD nuclear envelope phosphatase 1,23399,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],O95476
425,CTSA,cathepsin A,5476,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],P10619
426,CTSC,cathepsin C,1075,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum-Golgi intermediate compartment membrane, endoplasmic reticulum lumen","['""The lipid bilayer surrounding any of the compartments of the endoplasmic reticulum (ER)-Golgi intermediate compartment system."" [GOC:mah, GOC:pr, PMID:16723730]', '""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]']","GO:0033116, GO:0005788","[80, 313]","[nan, [synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())]]","[nan, nan]","[nan, nan]",P53634
427,CTSF,cathepsin F,8722,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],Q9UBX1
428,CTSW,cathepsin W,1521,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],P56202
429,CTSZ,cathepsin Z,1522,"Endoplasmic reticulum, Endoplasmic reticulum, Endoplasmic reticulum","CC, CC, CC","endoplasmic reticulum-Golgi intermediate compartment membrane, endoplasmic reticulum, endoplasmic reticulum lumen","['""The lipid bilayer surrounding any of the compartments of the endoplasmic reticulum (ER)-Golgi intermediate compartment system."" [GOC:mah, GOC:pr, PMID:16723730]', '""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]']","GO:0033116, GO:0005783, GO:0005788","[80, 1163, 313]","[nan, nan, [synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())]]","[nan, {'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan, nan]",Q9UBR2
430,CTTN,cortactin,2017,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],Q14247
431,CUBN,cubilin,8029,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],O60494
432,CWH43,cell wall biogenesis 43 C-terminal homolog,80157,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],Q9H720
433,CYB561D2,cytochrome b561 family member D2,11068,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005789","[1163, 1114]","[nan, nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",O14569
434,CYB5A,cytochrome b5 type A,1528,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],P00167
435,CYB5R1,cytochrome b5 reductase 1,51706,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],Q9UHQ9
436,CYB5R2,cytochrome b5 reductase 2,51700,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],Q6BCY4
